,data_name,model_name,loss_name,iter,best_epoch,test_iou,test_dice,test_precision,test_recall,test_f1
42,CVC-ClinicDB,ColonFormer,BCEWeightedLoss,2.0,165.0,0.213010371,0.326204121,0.242079347,0.715390205,0.326204121
43,CVC-ClinicDB,ColonFormer,BCEWeightedLoss,3.0,96.0,0.182553664,0.286119252,0.20478937,0.683498502,0.286119252
44,CVC-ClinicDB,ColonFormer,BCEWeightedLoss,4.0,98.0,0.20753397,0.326394171,0.233898386,0.715536594,0.3263942
45,CVC-ClinicDB,ColonFormer,IoUWeightedLoss,0.0,28.0,0.771800101,0.846228838,0.933744431,0.82628715,0.846228838
46,CVC-ClinicDB,ColonFormer,IoUWeightedLoss,1.0,39.0,0.764519632,0.837388694,0.917975724,0.816503584,0.837388694
47,CVC-ClinicDB,ColonFormer,IoUWeightedLoss,2.0,53.0,0.805520475,0.879425585,0.896902144,0.890773237,0.879425466
48,CVC-ClinicDB,ColonFormer,IoUWeightedLoss,3.0,27.0,0.77770251,0.856036544,0.880136847,0.849263132,0.856036544
49,CVC-ClinicDB,ColonFormer,IoUWeightedLoss,4.0,110.0,0.817400873,0.891283274,0.9085657,0.894224286,0.891283274
50,CVC-ClinicDB,ColonFormer,FocalWithEdgeLoss,0.0,22.0,0.798319399,0.875003994,0.888216257,0.874972105,0.875003994
51,CVC-ClinicDB,ColonFormer,FocalWithEdgeLoss,1.0,62.0,0.807537258,0.882815003,0.917494416,0.874788821,0.882815003
52,CVC-ClinicDB,ColonFormer,FocalWithEdgeLoss,2.0,51.0,0.794372916,0.874652088,0.885807991,0.892264962,0.874652088
53,CVC-ClinicDB,ColonFormer,FocalWithEdgeLoss,3.0,14.0,0.776150644,0.858752549,0.891614437,0.841144562,0.858752608
54,CVC-ClinicDB,ColonFormer,FocalWithEdgeLoss,4.0,62.0,0.823569715,0.896740735,0.914382815,0.891898513,0.896740735
55,CVC-ClinicDB,ColonFormer,BCEWithEdgeLoss,0.0,80.0,0.81162107,0.881436527,0.914631963,0.875054121,0.881436527
56,CVC-ClinicDB,ColonFormer,BCEWithEdgeLoss,1.0,55.0,0.792528808,0.864684463,0.886945963,0.870051742,0.864684463
57,CVC-ClinicDB,ColonFormer,BCEWithEdgeLoss,2.0,58.0,0.804207385,0.87456286,0.914432228,0.87328136,0.874562919
58,CVC-ClinicDB,ColonFormer,BCEWithEdgeLoss,3.0,55.0,0.79545927,0.870177627,0.912960291,0.862494051,0.870177627
59,CVC-ClinicDB,ColonFormer,BCEWithEdgeLoss,4.0,115.0,0.836221576,0.905742645,0.923425853,0.901645124,0.905742645
60,CVC-ClinicDB,UNet++,IoUWithGaussianLoss,0.0,66.0,0.694337845,0.772561669,0.889540672,0.765745759,0.772561669
61,CVC-ClinicDB,UNet++,IoUWithGaussianLoss,1.0,161.0,0.700749755,0.768094659,0.888914943,0.761850178,0.768094599
62,CVC-ClinicDB,UNet++,IoUWithGaussianLoss,2.0,77.0,0.747678161,0.820502341,0.920413554,0.808838189,0.820502341
63,CVC-ClinicDB,UNet++,IoUWithGaussianLoss,3.0,164.0,0.741101384,0.806465149,0.895157158,0.797719061,0.806465149
64,CVC-ClinicDB,UNet++,IoUWithGaussianLoss,4.0,156.0,0.733743966,0.810841084,0.907401145,0.785903633,0.810841084
65,CVC-ClinicDB,UNet++,BCEWithGaussianLoss,0.0,117.0,0.721641958,0.796420634,0.867008686,0.786299944,0.796420634
66,CVC-ClinicDB,UNet++,BCEWithGaussianLoss,1.0,159.0,0.709466636,0.782222331,0.859451652,0.768846512,0.782222331
67,CVC-ClinicDB,UNet++,BCEWithGaussianLoss,2.0,71.0,0.741694927,0.81767714,0.889581203,0.819122672,0.81767714
68,CVC-ClinicDB,UNet++,BCEWithGaussianLoss,3.0,155.0,0.719540775,0.795006812,0.859028339,0.787219048,0.795006812
69,CVC-ClinicDB,UNet++,BCEWithGaussianLoss,4.0,64.0,0.707604051,0.789054394,0.923367739,0.754668534,0.789054513
70,CVC-ClinicDB,UNet++,DiceWithGaussianLoss,0.0,61.0,0.707216144,0.783837914,0.871083617,0.792395771,0.783837914
71,CVC-ClinicDB,UNet++,DiceWithGaussianLoss,1.0,50.0,0.715931535,0.781951606,0.874398172,0.787553608,0.781951606
72,CVC-ClinicDB,UNet++,DiceWithGaussianLoss,2.0,60.0,0.739145219,0.812587142,0.913273036,0.796650589,0.812587142
73,CVC-ClinicDB,UNet++,DiceWithGaussianLoss,3.0,68.0,0.744373143,0.81755662,0.899528027,0.795923233,0.81755662
74,CVC-ClinicDB,UNet++,DiceWithGaussianLoss,4.0,68.0,0.735170305,0.81091392,0.909177065,0.802574575,0.81091392
75,CVC-ClinicDB,UNet++,FocalWithSSIMLoss,0.0,79.0,0.700657368,0.776787996,0.862310112,0.785146296,0.776787996
76,CVC-ClinicDB,UNet++,FocalWithSSIMLoss,1.0,52.0,0.699694872,0.773653388,0.827424586,0.782968223,0.773653388
77,CVC-ClinicDB,UNet++,FocalWithSSIMLoss,2.0,52.0,0.732853651,0.810303748,0.867824852,0.829485536,0.810303748
78,CVC-ClinicDB,UNet++,FocalWithSSIMLoss,3.0,120.0,0.72067976,0.79294914,0.876208007,0.786731482,0.79294914
79,CVC-ClinicDB,UNet++,FocalWithSSIMLoss,4.0,86.0,0.70353049,0.783529699,0.9059183,0.758284807,0.783529818
80,CVC-ClinicDB,UNet++,FocalWithContextualLoss,0.0,30.0,0.675017059,0.749809802,0.874447167,0.765689611,0.749809802
81,CVC-ClinicDB,UNet++,FocalWithContextualLoss,1.0,34.0,0.66365844,0.735123158,0.86986059,0.752735615,0.735123158
82,CVC-ClinicDB,UNet++,FocalWithContextualLoss,2.0,87.0,0.724734247,0.805478215,0.845609844,0.831743479,0.805478275
83,CVC-ClinicDB,UNet++,FocalWithContextualLoss,3.0,41.0,0.716122687,0.785575509,0.859163582,0.802057803,0.785575509
84,CVC-ClinicDB,UNet++,FocalWithContextualLoss,4.0,107.0,0.72546339,0.793209016,0.93607223,0.775563538,0.793208897
85,CVC-ClinicDB,UNet++,BCEWithContextualLoss,0.0,58.0,0.71522814,0.792549491,0.890985012,0.786535442,0.792549491
86,CVC-ClinicDB,UNet++,BCEWithContextualLoss,1.0,48.0,0.712010086,0.780614614,0.883041739,0.773832142,0.780614614
87,CVC-ClinicDB,UNet++,BCEWithContextualLoss,2.0,51.0,0.727313638,0.804081261,0.892817378,0.802314997,0.804081261
88,CVC-ClinicDB,UNet++,BCEWithContextualLoss,3.0,94.0,0.741025627,0.814277351,0.89358604,0.808001995,0.814277411
89,CVC-ClinicDB,UNet++,BCEWithContextualLoss,4.0,103.0,0.715077281,0.784803748,0.922138095,0.758448541,0.784803748
90,CVC-ClinicDB,UNet++,IoUWithTVLoss_tar,0.0,120.0,0.740494192,0.819236159,0.865108013,0.822121799,0.819236219
91,CVC-ClinicDB,UNet++,IoUWithTVLoss_tar,1.0,77.0,0.708960652,0.792420626,0.786065042,0.835654616,0.792420626
92,CVC-ClinicDB,UNet++,IoUWithTVLoss_tar,2.0,145.0,0.745482564,0.823530197,0.870075405,0.842211068,0.823530197
93,CVC-ClinicDB,UNet++,IoUWithTVLoss_tar,3.0,90.0,0.738629639,0.814320266,0.842020571,0.832702637,0.814320266
94,CVC-ClinicDB,UNet++,IoUWithTVLoss_tar,4.0,85.0,0.724417686,0.805745184,0.874344051,0.812882006,0.805745184
95,CVC-ClinicDB,UNet++,DiceWeightedLoss,0.0,12.0,0.201804906,0.316434085,0.226488873,0.785549641,0.316434085
96,CVC-ClinicDB,UNet++,DiceWeightedLoss,1.0,0.0,0.169351533,0.265896499,0.193364188,0.722010136,0.265896529
97,CVC-ClinicDB,UNet++,DiceWeightedLoss,2.0,0.0,0.144664496,0.236442015,0.174578503,0.605679095,0.236442015
98,CVC-ClinicDB,UNet++,DiceWeightedLoss,3.0,1.0,0.113651648,0.194278553,0.118696742,0.806750238,0.194278553
99,CVC-ClinicDB,UNet++,DiceWeightedLoss,4.0,11.0,0.182224095,0.289680719,0.202743441,0.727056444,0.289680749
100,CVC-ClinicDB,UNet++,BCEWeightedLoss,0.0,27.0,0.14111881,0.236987576,0.162312999,0.651533008,0.236987606
101,CVC-ClinicDB,UNet++,BCEWeightedLoss,1.0,8.0,0.137787744,0.22709775,0.156033084,0.64798975,0.22709772
102,CVC-ClinicDB,UNet++,BCEWeightedLoss,2.0,6.0,0.138642401,0.229684964,0.155121818,0.696952164,0.229684964
103,CVC-ClinicDB,UNet++,BCEWeightedLoss,3.0,2.0,0.109696344,0.187567949,0.124222018,0.591983438,0.187567949
104,CVC-ClinicDB,UNet++,BCEWeightedLoss,4.0,23.0,0.129373223,0.220051199,0.142641649,0.692829847,0.220051199
105,CVC-ClinicDB,UNet++,IoUWeightedLoss,0.0,141.0,0.734759688,0.809024513,0.897453487,0.79370898,0.809024513
106,CVC-ClinicDB,UNet++,IoUWeightedLoss,1.0,69.0,0.728836179,0.798901379,0.871433496,0.785141885,0.798901379
107,CVC-ClinicDB,UNet++,IoUWeightedLoss,2.0,65.0,0.74429369,0.815058112,0.890300691,0.807283878,0.815058112
108,CVC-ClinicDB,UNet++,IoUWeightedLoss,3.0,116.0,0.722270727,0.792762339,0.886381269,0.788938165,0.792762339
109,CVC-ClinicDB,UNet++,IoUWeightedLoss,4.0,66.0,0.733833253,0.810172558,0.920336008,0.785073876,0.810172558
110,CVC-ClinicDB,UNet++,FocalWithEdgeLoss,0.0,101.0,0.733822882,0.807439744,0.879217744,0.820320666,0.807439744
111,CVC-ClinicDB,UNet++,FocalWithEdgeLoss,1.0,114.0,0.747607708,0.817263544,0.873967469,0.82259953,0.817263544
112,CVC-ClinicDB,UNet++,FocalWithEdgeLoss,2.0,52.0,0.731494188,0.815478027,0.860555649,0.840175569,0.815478027
113,CVC-ClinicDB,UNet++,FocalWithEdgeLoss,3.0,142.0,0.762309968,0.832259238,0.917083263,0.822950959,0.832259178
114,CVC-ClinicDB,UNet++,FocalWithEdgeLoss,4.0,121.0,0.750965238,0.826058865,0.914457381,0.818122447,0.826058865
115,CVC-ClinicDB,UNet++,BCEWithEdgeLoss,0.0,51.0,0.701417267,0.778137565,0.901415408,0.753319025,0.778137505
116,CVC-ClinicDB,UNet++,BCEWithEdgeLoss,1.0,156.0,0.711623907,0.782883167,0.873092949,0.781868219,0.782883167
117,CVC-ClinicDB,UNet++,BCEWithEdgeLoss,2.0,72.0,0.738719165,0.817813575,0.890865386,0.813022017,0.817813575
118,CVC-ClinicDB,UNet++,BCEWithEdgeLoss,3.0,63.0,0.72100848,0.798491836,0.868599057,0.792353451,0.798491836
119,CVC-ClinicDB,UNet++,BCEWithEdgeLoss,4.0,98.0,0.73503226,0.813167691,0.919641316,0.786158621,0.813167691
120,CVC-ClinicDB,Unet,IoUWithGaussianLoss,0.0,97.0,0.704835057,0.775828779,0.864511549,0.764496565,0.775828779
121,CVC-ClinicDB,Unet,IoUWithGaussianLoss,1.0,99.0,0.724562109,0.796169221,0.870634258,0.794784188,0.796169281
122,CVC-ClinicDB,Unet,IoUWithGaussianLoss,2.0,92.0,0.737441003,0.8172158,0.892255247,0.80957979,0.8172158
123,CVC-ClinicDB,Unet,IoUWithGaussianLoss,3.0,111.0,0.737060487,0.805476725,0.852286756,0.815265179,0.805476725
124,CVC-ClinicDB,Unet,IoUWithGaussianLoss,4.0,88.0,0.750407159,0.827611327,0.919585586,0.809887826,0.827611327
125,CVC-ClinicDB,Unet,BCEWithGaussianLoss,0.0,104.0,0.718055189,0.796489954,0.83519578,0.806770086,0.796489954
126,CVC-ClinicDB,Unet,BCEWithGaussianLoss,1.0,50.0,0.72325772,0.7980389,0.874379754,0.795005798,0.7980389
127,CVC-ClinicDB,Unet,BCEWithGaussianLoss,2.0,64.0,0.711062551,0.789173663,0.865396023,0.795399964,0.789173663
128,CVC-ClinicDB,Unet,BCEWithGaussianLoss,3.0,48.0,0.718746662,0.79457587,0.879168749,0.788105428,0.79457587
129,CVC-ClinicDB,Unet,BCEWithGaussianLoss,4.0,82.0,0.749901891,0.831496179,0.926595211,0.802291334,0.831496179
130,CVC-ClinicDB,Unet,DiceWithGaussianLoss,0.0,97.0,0.704835057,0.775828779,0.864511549,0.764496565,0.775828779
131,CVC-ClinicDB,Unet,DiceWithGaussianLoss,1.0,99.0,0.724562109,0.796169221,0.870634258,0.794784188,0.796169281
132,CVC-ClinicDB,Unet,DiceWithGaussianLoss,2.0,92.0,0.737441003,0.8172158,0.892255247,0.80957979,0.8172158
133,CVC-ClinicDB,Unet,DiceWithGaussianLoss,3.0,111.0,0.737060487,0.805476725,0.852286756,0.815265179,0.805476725
134,CVC-ClinicDB,Unet,DiceWithGaussianLoss,4.0,88.0,0.750407159,0.827611327,0.919585586,0.809887826,0.827611327
135,CVC-ClinicDB,Unet,FocalWithSSIMLoss,0.0,90.0,0.719764948,0.790015936,0.894309223,0.782914877,0.790015936
136,CVC-ClinicDB,Unet,FocalWithSSIMLoss,1.0,112.0,0.745170355,0.817130923,0.869617999,0.819182158,0.817130923
137,CVC-ClinicDB,Unet,FocalWithSSIMLoss,2.0,141.0,0.736646712,0.813138425,0.909482539,0.811464608,0.813138425
138,CVC-ClinicDB,Unet,FocalWithSSIMLoss,3.0,70.0,0.747170031,0.821288049,0.893880725,0.823620796,0.821288109
139,CVC-ClinicDB,Unet,FocalWithSSIMLoss,4.0,105.0,0.743845761,0.821306407,0.903404176,0.813324332,0.821306348
140,CVC-ClinicDB,Unet,FocalWithContextualLoss,0.0,72.0,0.739506185,0.801289141,0.906585157,0.797289312,0.801289141
141,CVC-ClinicDB,Unet,FocalWithContextualLoss,1.0,57.0,0.728283167,0.790561736,0.89372313,0.788712502,0.790561736
142,CVC-ClinicDB,Unet,FocalWithContextualLoss,2.0,60.0,0.737063348,0.809076309,0.899895549,0.817775965,0.80907625
143,CVC-ClinicDB,Unet,FocalWithContextualLoss,3.0,110.0,0.742275655,0.806357503,0.927060366,0.785655677,0.806357503
144,CVC-ClinicDB,Unet,FocalWithContextualLoss,4.0,50.0,0.744955659,0.820402086,0.929546595,0.805078268,0.820402086
145,CVC-ClinicDB,Unet,BCEWithContextualLoss,0.0,44.0,0.710498869,0.786327302,0.882573068,0.787123084,0.786327302
146,CVC-ClinicDB,Unet,BCEWithContextualLoss,1.0,87.0,0.739528716,0.811375499,0.880998969,0.812115371,0.811375499
147,CVC-ClinicDB,Unet,BCEWithContextualLoss,2.0,104.0,0.737736106,0.813777506,0.893513799,0.821002722,0.813777506
148,CVC-ClinicDB,Unet,BCEWithContextualLoss,3.0,56.0,0.722724438,0.794630527,0.880711854,0.802971005,0.794630527
149,CVC-ClinicDB,Unet,BCEWithContextualLoss,4.0,70.0,0.779396951,0.855123878,0.924291909,0.833289087,0.855123878
150,CVC-ClinicDB,Unet,IoUWithTVLoss_tar,0.0,69.0,0.669537544,0.751550734,0.83725071,0.787072718,0.751550734
151,CVC-ClinicDB,Unet,IoUWithTVLoss_tar,1.0,156.0,0.705645621,0.779889107,0.833366156,0.804406226,0.779889107
152,CVC-ClinicDB,Unet,IoUWithTVLoss_tar,2.0,66.0,0.687594175,0.779667318,0.801789641,0.840346813,0.779667318
153,CVC-ClinicDB,Unet,IoUWithTVLoss_tar,3.0,135.0,0.744929254,0.822225571,0.851704478,0.852651596,0.822225571
154,CVC-ClinicDB,Unet,IoUWithTVLoss_tar,4.0,107.0,0.755347967,0.835796535,0.882232726,0.847884357,0.835796535
155,CVC-ClinicDB,Unet,DiceWeightedLoss,0.0,4.0,0.143456176,0.234632835,0.151352957,0.833036065,0.234632835
156,CVC-ClinicDB,Unet,DiceWeightedLoss,1.0,3.0,0.121542081,0.204031378,0.136447623,0.671609461,0.204031378
157,CVC-ClinicDB,Unet,DiceWeightedLoss,2.0,0.0,0.167022854,0.263840705,0.182930872,0.785947561,0.263840705
158,CVC-ClinicDB,Unet,DiceWeightedLoss,3.0,1.0,0.155705005,0.252771646,0.181706101,0.625841677,0.252771646
159,CVC-ClinicDB,Unet,DiceWeightedLoss,4.0,18.0,0.169153169,0.274193496,0.186748222,0.722638249,0.274193525
160,CVC-ClinicDB,Unet,BCEWeightedLoss,0.0,0.0,0.135123134,0.220606238,0.15272741,0.661792338,0.220606223
161,CVC-ClinicDB,Unet,BCEWeightedLoss,1.0,11.0,0.127116859,0.212387726,0.14383091,0.643049777,0.212387726
162,CVC-ClinicDB,Unet,BCEWeightedLoss,2.0,5.0,0.152573064,0.247613505,0.175051033,0.664484501,0.247613505
163,CVC-ClinicDB,Unet,BCEWeightedLoss,3.0,9.0,0.139190048,0.228801131,0.152582213,0.694653809,0.228801131
164,CVC-ClinicDB,Unet,BCEWeightedLoss,4.0,1.0,0.144119456,0.236847371,0.158680812,0.701154888,0.236847371
165,CVC-ClinicDB,Unet,IoUWeightedLoss,0.0,90.0,0.703848541,0.771387875,0.908363461,0.763011336,0.771387875
166,CVC-ClinicDB,Unet,IoUWeightedLoss,1.0,101.0,0.712150395,0.77897352,0.848733485,0.798171222,0.77897352
167,CVC-ClinicDB,Unet,IoUWeightedLoss,2.0,147.0,0.742586553,0.818484902,0.894361913,0.81653595,0.818484902
168,CVC-ClinicDB,Unet,IoUWeightedLoss,3.0,119.0,0.731426537,0.801188767,0.900845587,0.781246781,0.801188767
169,CVC-ClinicDB,Unet,IoUWeightedLoss,4.0,96.0,0.747601628,0.823755145,0.925902188,0.806126177,0.823755145
170,CVC-ClinicDB,Unet,FocalWithEdgeLoss,0.0,82.0,0.721097291,0.797103941,0.905369878,0.793372273,0.797103882
171,CVC-ClinicDB,Unet,FocalWithEdgeLoss,1.0,113.0,0.735208571,0.81183058,0.87049067,0.816292882,0.81183058
172,CVC-ClinicDB,Unet,FocalWithEdgeLoss,2.0,145.0,0.735847831,0.814865708,0.882968366,0.816377819,0.814865768
173,CVC-ClinicDB,Unet,FocalWithEdgeLoss,3.0,191.0,0.75724566,0.827233195,0.896000206,0.825837016,0.827233195
174,CVC-ClinicDB,Unet,FocalWithEdgeLoss,4.0,133.0,0.740741789,0.818035841,0.937159419,0.793581426,0.818035841
175,CVC-ClinicDB,Unet,BCEWithEdgeLoss,0.0,155.0,0.733180761,0.803652942,0.895824134,0.799142361,0.803652942
176,CVC-ClinicDB,Unet,BCEWithEdgeLoss,1.0,78.0,0.699339867,0.77307874,0.838240325,0.7890535,0.77307874
177,CVC-ClinicDB,Unet,BCEWithEdgeLoss,2.0,63.0,0.717119515,0.797037899,0.851698577,0.815848768,0.797037899
178,CVC-ClinicDB,Unet,BCEWithEdgeLoss,3.0,110.0,0.753471613,0.825892806,0.904833913,0.81281656,0.825892746
179,CVC-ClinicDB,Unet,BCEWithEdgeLoss,4.0,82.0,0.756819725,0.836490393,0.917155623,0.819132209,0.836490393
180,CVC-ClinicDB,ESFPNet,IoUWithGaussianLoss,0.0,100.0,0.80250448,0.868330002,0.900791109,0.869148672,0.868330002
181,CVC-ClinicDB,ESFPNet,IoUWithGaussianLoss,1.0,74.0,0.783141136,0.863629103,0.856309295,0.894295156,0.863629103
182,CVC-ClinicDB,ESFPNet,IoUWithGaussianLoss,2.0,104.0,0.786340952,0.861702323,0.899845719,0.863399804,0.861702323
183,CVC-ClinicDB,ESFPNet,IoUWithGaussianLoss,3.0,152.0,0.792790532,0.861810088,0.898330569,0.860926092,0.861810088
184,CVC-ClinicDB,ESFPNet,IoUWithGaussianLoss,4.0,102.0,0.823820949,0.894816518,0.920376658,0.890336037,0.894816518
185,CVC-ClinicDB,ESFPNet,BCEWithGaussianLoss,0.0,130.0,0.7828601,0.859166026,0.876717091,0.871930122,0.859166026
186,CVC-ClinicDB,ESFPNet,BCEWithGaussianLoss,1.0,170.0,0.800127447,0.874994934,0.895161569,0.876036525,0.874994934
187,CVC-ClinicDB,ESFPNet,BCEWithGaussianLoss,2.0,113.0,0.794738054,0.867475748,0.898944914,0.863851488,0.867475748
188,CVC-ClinicDB,ESFPNet,BCEWithGaussianLoss,3.0,187.0,0.798811734,0.868890822,0.910811305,0.856203079,0.868890822
189,CVC-ClinicDB,ESFPNet,BCEWithGaussianLoss,4.0,89.0,0.810031056,0.882120609,0.916126311,0.873770297,0.882120609
190,CVC-ClinicDB,ESFPNet,DiceWithGaussianLoss,0.0,196.0,0.810277045,0.873871684,0.897205472,0.874302983,0.873871684
191,CVC-ClinicDB,ESFPNet,DiceWithGaussianLoss,1.0,108.0,0.804323256,0.878993332,0.893837988,0.885329485,0.878993332
192,CVC-ClinicDB,ESFPNet,DiceWithGaussianLoss,2.0,176.0,0.802917421,0.869602382,0.898425519,0.876733899,0.869602382
193,CVC-ClinicDB,ESFPNet,DiceWithGaussianLoss,3.0,92.0,0.795550704,0.864714682,0.901086509,0.857984781,0.864714682
194,CVC-ClinicDB,ESFPNet,DiceWithGaussianLoss,4.0,108.0,0.827793956,0.897966206,0.915983975,0.895038247,0.897966206
195,CVC-ClinicDB,ESFPNet,FocalWithSSIMLoss,0.0,198.0,0.787867725,0.856028676,0.891139507,0.850640953,0.856028676
196,CVC-ClinicDB,ESFPNet,FocalWithSSIMLoss,1.0,64.0,0.75210768,0.836978316,0.872235656,0.834140003,0.836978316
197,CVC-ClinicDB,ESFPNet,FocalWithSSIMLoss,2.0,176.0,0.772551358,0.85182929,0.887480378,0.848218203,0.85182929
198,CVC-ClinicDB,ESFPNet,FocalWithSSIMLoss,3.0,192.0,0.786586761,0.861683071,0.895050049,0.854662478,0.861683071
199,CVC-ClinicDB,ESFPNet,FocalWithSSIMLoss,4.0,105.0,0.806160986,0.882526934,0.912986696,0.871060371,0.882526934
200,CVC-ClinicDB,ESFPNet,FocalWithContextualLoss,0.0,65.0,0.775051773,0.840896904,0.901902318,0.847400665,0.840896904
